Date,home,away,Home Score,Away Score,result,Tries scored H,Tries scored A,Neutral venue,Crowds
31/10/1995,Farul Constanta,Toulouse,10,54,Away,1,8,0,1
07/11/1995,Treviso,Farul Constanta,86,8,Home,10,1,0,1
15/12/1995,Toulouse,Treviso,18,9,Home,0,0,0,1
21/11/1995,Bordeaux,Cardiff Blues,14,14,Draw,1,1,0,1
28/11/1995,Cardiff Blues,Ulster,46,6,Home,5,0,0,1
13/12/1995,Ulster,Bordeaux,16,29,Away,2,4,0,1
01/11/1995,Milan,Leinster,21,24,Away,2,2,0,1
22/11/1995,Pontypridd,Milan,31,12,Home,2,0,0,1
06/12/1995,Leinster,Pontypridd,23,22,Home,2,1,0,1
01/11/1995,Munster,Swansea,17,13,Home,2,1,0,1
08/11/1995,Castres,Munster,19,12,Home,1,0,0,1
05/12/1995,Swansea,Castres,22,10,Home,2,1,0,1
30/12/1995,Leinster,Cardiff Blues,14,23,Away,1,1,0,1
30/12/1995,Toulouse,Swansea,30,3,Home,3,0,0,1
06/01/1996,Cardiff Blues,Toulouse,18,18,Draw,0,2,0,1
12/10/1996,Pontypridd,Treviso,28,22,Home,,,0,1
12/10/1996,Bath,Edinburgh,55,26,Home,,,0,1
16/10/1996,Edinburgh,Pontypridd,10,32,Away,,,0,1
16/10/1996,Treviso,Dax,14,34,Away,,,0,1
19/10/1996,Pontypridd,Bath,19,6,Home,,,0,1
20/10/1996,Dax,Edinburgh,69,12,Home,,,0,1
26/10/1996,Bath,Dax,25,16,Home,,,0,1
27/10/1996,Edinburgh,Treviso,23,43,Away,,,0,1
02/11/1996,Treviso,Bath,27,50,Away,,,0,1
02/11/1996,Dax,Pontypridd,22,8,Home,,,0,1
12/10/1996,Llanelli,Leinster,34,17,Home,,,0,1
12/10/1996,Pau,Borders,85,28,Home,,,0,1
16/10/1996,Leinster,Leicester,10,27,Away,,,0,1
16/10/1996,Borders,Llanelli,24,16,Home,,,0,1
19/10/1996,Llanelli,Pau,31,15,Home,,,0,1
19/10/1996,Leicester,Borders,43,3,Home,,,0,1
26/10/1996,Borders,Leinster,25,34,Away,,,0,1
26/10/1996,Pau,Leicester,14,19,Away,,,0,1
02/11/1996,Leinster,Pau,25,23,Home,,,0,1
02/11/1996,Leicester,Llanelli,25,16,Home,,,0,1
12/10/1996,Brive,Neath,34,19,Home,,,0,1
13/10/1996,Caledonia,Ulster,34,41,Away,,,0,1
16/10/1996,Ulster,Harlequins,15,21,Away,,,0,1
16/10/1996,Neath,Caledonia,27,18,Home,,,0,1
19/10/1996,Harlequins,Neath,44,22,Home,,,0,1
20/10/1996,Caledonia,Brive,30,32,Away,,,0,1
26/10/1996,Neath,Ulster,15,13,Home,,,0,1
27/10/1996,Brive,Harlequins,23,10,Home,,,0,1
02/11/1996,Ulster,Brive,6,17,Away,,,0,1
02/11/1996,Harlequins,Caledonia,56,35,Home,,,0,1
12/10/1996,Munster,Milan,23,5,Home,,,0,1
13/10/1996,Wasps,Cardiff Blues,24,26,Away,,,0,1
16/10/1996,Cardiff Blues,Munster,48,18,Home,,,0,1
16/10/1996,Milan,Toulouse,26,44,Away,,,0,1
19/10/1996,Munster,Wasps,49,22,Home,,,0,1
19/10/1996,Toulouse,Cardiff Blues,36,20,Home,,,0,1
26/10/1996,Wasps,Toulouse,77,17,Home,,,0,1
27/10/1996,Cardiff Blues,Milan,41,19,Home,,,0,1
02/11/1996,Milan,Wasps,23,33,Away,,,0,1
02/11/1996,Toulouse,Munster,60,19,Home,,,0,1
09/11/1996,Cardiff Blues,Bath,22,19,Home,,,0,1
16/11/1996,Leicester,Harlequins,23,13,Home,,,0,1
16/11/1996,Dax,Toulouse,18,26,Away,,,0,1
17/11/1996,Brive,Llanelli,35,14,Home,,,0,1
04/01/1997,Leicester,Toulouse,37,11,Home,,,0,1
05/01/1997,Brive,Cardiff Blues,26,13,Home,,,0,1
25/01/1997,Brive,Leicester,28,9,Home,,,1,1
01/01/1998,Leinster,Toulouse,25,34,Away,,,0,1
01/01/1998,Leicester,Milan,26,10,Home,,,0,1
01/01/1998,Leinster,Leicester,16,9,Home,,,0,1
01/01/1998,Milan,Toulouse,14,19,Away,,,0,1
01/01/1998,Milan,Leinster,33,32,Home,,,0,1
01/01/1998,Toulouse,Leicester,17,22,Away,,,0,1
01/01/1998,Leicester,Leinster,47,22,Home,,,0,1
01/01/1998,Toulouse,Milan,69,19,Home,,,0,1
01/01/1998,Leicester,Toulouse,22,23,Away,,,0,1
01/01/1998,Leinster,Milan,23,6,Home,,,0,1
01/01/1998,Toulouse,Leinster,38,19,Home,,,0,1
01/01/1998,Milan,Leicester,29,37,Away,,,0,1
01/01/1998,Swansea,Wasps,25,31,Away,,,0,1
01/01/1998,Ulster,Glasgow,12,18,Away,,,0,1
01/01/1998,Swansea,Ulster,33,16,Home,,,0,1
01/01/1998,Glasgow,Wasps,22,46,Away,,,0,1
01/01/1998,Glasgow,Swansea,35,21,Home,,,0,1
01/01/1998,Wasps,Ulster,56,3,Home,,,0,1
01/01/1998,Ulster,Swansea,28,20,Home,,,0,1
01/01/1998,Wasps,Glasgow,43,5,Home,,,0,1
01/01/1998,Ulster,Wasps,21,38,Away,,,0,1
01/01/1998,Swansea,Glasgow,30,22,Home,,,0,1
01/01/1998,Glasgow,Ulster,30,15,Home,,,0,1
01/01/1998,Wasps,Swansea,29,28,Home,,,0,1
01/01/1998,Brive,Borders,56,18,Home,,,0,1
01/01/1998,Pontypridd,Bath,15,21,Away,,,0,1
01/01/1998,Borders,Bath,17,31,Away,,,0,1
01/01/1998,Brive,Pontypridd,32,31,Home,,,0,1
01/01/1998,Bath,Brive,27,25,Home,,,0,1
01/01/1998,Borders,Pontypridd,16,23,Away,,,0,1
01/01/1998,Pontypridd,Brive,29,29,Draw,,,0,1
01/01/1998,Bath,Borders,27,23,Home,,,0,1
01/01/1998,Pontypridd,Borders,46,26,Home,,,0,1
01/01/1998,Brive,Bath,29,12,Home,,,0,1
01/01/1998,Bath,Pontypridd,23,10,Home,,,0,1
01/01/1998,Borders,Brive,29,39,Away,,,0,1
01/01/1998,Bourgoin,Cardiff Blues,26,25,Home,,,0,1
01/01/1998,Harlequins,Munster,48,40,Home,,,0,1
01/01/1998,Harlequins,Bourgoin,45,7,Home,,,0,1
01/01/1998,Cardiff Blues,Munster,43,23,Home,,,0,1
01/01/1998,Munster,Bourgoin,17,15,Home,,,0,1
01/01/1998,Cardiff Blues,Harlequins,21,28,Away,,,0,1
01/01/1998,Munster,Cardiff Blues,32,37,Away,,,0,1
01/01/1998,Bourgoin,Harlequins,18,30,Away,,,0,1
01/01/1998,Bourgoin,Munster,21,6,Home,,,0,1
01/01/1998,Harlequins,Cardiff Blues,31,32,Away,,,0,1
01/01/1998,Cardiff Blues,Bourgoin,26,6,Home,,,0,1
01/01/1998,Munster,Harlequins,23,16,Home,,,0,1
01/01/1998,Treviso,Pau,18,19,Away,,,0,1
01/01/1998,Caledonia,Scarlets,18,23,Away,,,0,1
01/01/1998,Pau,Scarlets,44,12,Home,,,0,1
01/01/1998,Caledonia,Treviso,17,9,Home,,,0,1
01/01/1998,Scarlets,Treviso,39,18,Home,,,0,1
01/01/1998,Pau,Caledonia,50,8,Home,,,0,1
01/01/1998,Treviso,Caledonia,52,6,Home,,,0,1
01/01/1998,Scarlets,Pau,14,10,Home,,,0,1
01/01/1998,Treviso,Scarlets,42,25,Home,,,0,1
01/01/1998,Caledonia,Pau,30,24,Home,,,0,1
01/01/1998,Scarlets,Caledonia,31,10,Home,,,0,1
01/01/1998,Pau,Treviso,56,7,Home,,,0,1
01/01/1998,Leicester,Glasgow,90,19,Home,,,0,1
01/01/1998,Brive,Pontypridd,25,20,Home,,,0,1
01/01/1998,Cardiff Blues,Scarlets,24,20,Home,,,0,1
01/01/1998,Bath,Cardiff Blues,32,21,Home,,,0,1
01/01/1998,Toulouse,Harlequins,51,10,Home,,,0,1
01/01/1998,Wasps,Brive,18,25,Away,,,0,1
01/01/1998,Pau,Leicester,35,18,Home,,,0,1
01/01/1998,Bath,Pau,20,14,Home,,,0,1
01/01/1998,Toulouse,Brive,22,22,Draw,,,0,1
01/01/1998,Bath,Brive,19,18,Home,,,1,1
01/01/1999,Scarlets,Leinster,27,33,Away,,,0,1
01/01/1999,Bordeaux,Stade Francais,28,39,Away,,,0,1
01/01/1999,Leinster,Stade Francais,17,28,Away,,,0,1
01/01/1999,Scarlets,Bordeaux,22,10,Home,,,0,1
01/01/1999,Leinster,Bordeaux,9,3,Home,,,0,1
01/01/1999,Stade Francais,Scarlets,49,3,Home,,,0,1
01/01/1999,Stade Francais,Leinster,56,31,Home,,,0,1
01/01/1999,Bordeaux,Scarlets,48,10,Home,,,0,1
01/01/1999,Scarlets,Stade Francais,17,13,Home,,,0,1
01/01/1999,Bordeaux,Leinster,31,10,Home,,,0,1
01/01/1999,Leinster,Scarlets,27,34,Away,,,0,1
01/01/1999,Stade Francais,Bordeaux,34,21,Home,,,0,1
01/01/1999,Munster,Petrarca,20,13,Home,,,0,1
01/01/1999,Neath,Perpignan,33,51,Away,,,0,1
01/01/1999,Munster,Neath,34,10,Home,,,0,1
01/01/1999,Perpignan,Petrarca,67,8,Home,,,0,1
01/01/1999,Perpignan,Munster,41,24,Home,,,0,1
01/01/1999,Petrarca,Neath,28,17,Home,,,0,1
