"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
1995-10-31,"Farul Constanta","Toulouse",10,54,"Away",1,8,0,1
1995-11-07,"Treviso","Farul Constanta",86,8,"Home",10,1,0,1
1995-12-15,"Toulouse","Treviso",18,9,"Home",0,0,0,1
1995-11-21,"Bordeaux","Cardiff Blues",14,14,"Draw",1,1,0,1
1995-11-28,"Cardiff Blues","Ulster",46,6,"Home",5,0,0,1
1995-12-13,"Ulster","Bordeaux",16,29,"Away",2,4,0,1
1995-11-01,"Milan","Leinster",21,24,"Away",2,2,0,1
1995-11-22,"Pontypridd","Milan",31,12,"Home",2,0,0,1
1995-12-06,"Leinster","Pontypridd",23,22,"Home",2,1,0,1
1995-11-01,"Munster","Swansea",17,13,"Home",2,1,0,1
1995-11-08,"Castres","Munster",19,12,"Home",1,0,0,1
1995-12-05,"Swansea","Castres",22,10,"Home",2,1,0,1
1995-12-30,"Leinster","Cardiff Blues",14,23,"Away",1,1,0,1
1995-12-30,"Toulouse","Swansea",30,3,"Home",3,0,0,1
1996-01-06,"Cardiff Blues","Toulouse",18,18,"Draw",0,2,0,1
1996-10-12,"Pontypridd","Treviso",28,22,"Home",NA,NA,0,1
1996-10-12,"Bath","Edinburgh",55,26,"Home",NA,NA,0,1
1996-10-16,"Edinburgh","Pontypridd",10,32,"Away",NA,NA,0,1
1996-10-16,"Treviso","Dax",14,34,"Away",NA,NA,0,1
1996-10-19,"Pontypridd","Bath",19,6,"Home",NA,NA,0,1
1996-10-20,"Dax","Edinburgh",69,12,"Home",NA,NA,0,1
1996-10-26,"Bath","Dax",25,16,"Home",NA,NA,0,1
1996-10-27,"Edinburgh","Treviso",23,43,"Away",NA,NA,0,1
1996-11-02,"Treviso","Bath",27,50,"Away",NA,NA,0,1
1996-11-02,"Dax","Pontypridd",22,8,"Home",NA,NA,0,1
1996-10-12,"Llanelli","Leinster",34,17,"Home",NA,NA,0,1
1996-10-12,"Pau","Borders",85,28,"Home",NA,NA,0,1
1996-10-16,"Leinster","Leicester",10,27,"Away",NA,NA,0,1
1996-10-16,"Borders","Llanelli",24,16,"Home",NA,NA,0,1
1996-10-19,"Llanelli","Pau",31,15,"Home",NA,NA,0,1
1996-10-19,"Leicester","Borders",43,3,"Home",NA,NA,0,1
1996-10-26,"Borders","Leinster",25,34,"Away",NA,NA,0,1
1996-10-26,"Pau","Leicester",14,19,"Away",NA,NA,0,1
1996-11-02,"Leinster","Pau",25,23,"Home",NA,NA,0,1
1996-11-02,"Leicester","Llanelli",25,16,"Home",NA,NA,0,1
1996-10-12,"Brive","Neath",34,19,"Home",NA,NA,0,1
1996-10-13,"Caledonia","Ulster",34,41,"Away",NA,NA,0,1
1996-10-16,"Ulster","Harlequins",15,21,"Away",NA,NA,0,1
1996-10-16,"Neath","Caledonia",27,18,"Home",NA,NA,0,1
1996-10-19,"Harlequins","Neath",44,22,"Home",NA,NA,0,1
1996-10-20,"Caledonia","Brive",30,32,"Away",NA,NA,0,1
